,DateScot,Tests,ConfirmedCases,Deaths
1,24/01/2020,2,0,0
2,25/01/2020,5,0,0
3,26/01/2020,6,0,0
4,27/01/2020,7,0,0
5,28/01/2020,11,0,0
6,29/01/2020,11,0,0
7,30/01/2020,16,0,0
8,31/01/2020,16,0,0
9,01/02/2020,16,0,0
10,02/02/2020,16,0,0
11,03/02/2020,26,0,0
12,04/02/2020,26,0,0
13,05/02/2020,31,0,0
14,06/02/2020,34,0,0
15,07/02/2020,38,0,0
16,08/02/2020,38,0,0
17,09/02/2020,41,0,0
18,10/02/2020,57,0,0
19,11/02/2020,82,0,0
20,12/02/2020,106,0,0
21,13/02/2020,148,0,0
22,14/02/2020,200,0,0
23,15/02/2020,224,0,0
24,16/02/2020,252,0,0
25,17/02/2020,264,0,0
26,18/02/2020,276,0,0
27,19/02/2020,306,0,0
28,20/02/2020,327,0,0
29,21/02/2020,368,0,0
30,22/02/2020,382,0,0
31,23/02/2020,393,0,0
32,24/02/2020,404,0,0
33,25/02/2020,412,0,0
34,26/02/2020,437,0,0
35,27/02/2020,470,0,0
36,28/02/2020,500,0,0
37,29/02/2020,630,0,0
38,01/03/2020,698,0,0
39,02/03/2020,815,1,0
40,03/03/2020,915,1,0
41,04/03/2020,1046,3,0
42,05/03/2020,1256,6,0
43,06/03/2020,1525,11,0
44,07/03/2020,1680,16,0
45,08/03/2020,1957,18,0
46,09/03/2020,2101,23,0
47,10/03/2020,2234,27,0
48,11/03/2020,2316,36,0
49,12/03/2020,2892,60,0
50,13/03/2020,3314,85,1
51,14/03/2020,3715,121,1
52,15/03/2020,4240,153,1
53,16/03/2020,4895,171,1
54,17/03/2020,5246,195,2
55,18/03/2020,6091,227,3
56,19/03/2020,6772,266,6
57,20/03/2020,7550,322,6
58,21/03/2020,8259,373,7
59,22/03/2020,8679,416,10
60,23/03/2020,9364,499,14
61,24/03/2020,9968,584,16
62,25/03/2020,10676,719,22
63,26/03/2020,11487,894,25
64,27/03/2020,12273,1059,33
65,28/03/2020,13133,1245,40
66,29/03/2020,13889,1384,41
67,30/03/2020,14624,1563,47
68,31/03/2020,15895,1993,69
69,01/04/2020,17007,2310,97
70,02/04/2020,18128,2602,126
71,03/04/2020,19535,3001,172
72,04/04/2020,20798,3345,218
73,05/04/2020,23143,3706,220
74,06/04/2020,24036,3961,222
75,07/04/2020,25022,4229,296
76,08/04/2020,26226,4565,366
77,09/04/2020,27518,4957,447
78,10/04/2020,28652,5275,495
79,11/04/2020,29903,5590,542
80,12/04/2020,31114,5912,566
81,13/04/2020,31813,6067,575
82,14/04/2020,32855,6358,615
83,15/04/2020,34064,6748,699
84,16/04/2020,35392,7102,779
85,17/04/2020,36637,7409,837
86,18/04/2020,38233,7820,893
87,19/04/2020,39612,8187,903
88,20/04/2020,40700,8450,915
89,21/04/2020,41699,8672,985
90,22/04/2020,43309,9038,1062
91,23/04/2020,44799,9409,1120
92,24/04/2020,46089,9697,1184
93,25/04/2020,47749,10051,1231
94,26/04/2020,49157,10324,1249
95,27/04/2020,50294,10521,1262
96,28/04/2020,51499,10721,1332
97,29/04/2020,53082,11034,1415
98,30/04/2020,54639,11353,1475
99,01/05/2020,56702,11654,1515
100,02/05/2020,58833,11927,1559
101,03/05/2020,60295,12097,1571
102,04/05/2020,61696,12266,1576
103,05/05/2020,63311,12437,1620
104,06/05/2020,65125,12709,1703
105,07/05/2020,67097,12924,1762
106,08/05/2020,69191,13149,1811
107,09/05/2020,71092,13305,1847
108,10/05/2020,72683,13486,1857
109,11/05/2020,74063,13627,1862
110,12/05/2020,75570,13763,1912
111,13/05/2020,77750,13929,1973
112,14/05/2020,80275,14117,2007
113,15/05/2020,82266,14260,2053
114,16/05/2020,85604,14447,2094
115,17/05/2020,87660,14537,2103
116,18/05/2020,88940,14594,2105
117,19/05/2020,90421,14655,2134
118,20/05/2020,92594,14751,2184
119,21/05/2020,95173,14856,2221
120,22/05/2020,97607,14969,2245
121,23/05/2020,99932,15041,2261
122,24/05/2020,101713,15101,2270
123,25/05/2020,103508,15156,2273
124,26/05/2020,104880,15185,2291
125,27/05/2020,106984,15240,2304
